id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
298,ship,nation,Sailing,-1,"['Sailing', 'shelf', 'car', 'Supply Chain', 'Car', 'Student', 'City', 'money', 'Warehouse', 'line', 'signal', 'Mail', 'Machines', 'city', 'Bridge', 'River', 'Construction Workers', 'sound system', 'Houses', 'Construction Work']","[0.5130783158966448, 0.4176030325602661, 0.3858884584825973, 0.3831685380685781, 0.3649057340948388, 0.35451044945229593, 0.35207215687104787, 0.33950213331929646, 0.3371755725492862, 0.3355645514447872, 0.3353807417886464, 0.33431331596591374, 0.3336636666296651, 0.3326545526978661, 0.3296615734083331, 0.328351441921949, 0.3265111294468801, 0.3235945442855951, 0.32274521232574804, 0.32229925148609545]"
299,family,nation,family,11,"['family', 'Families', 'society', 'house', 'faith', 'Buildings', 'Houses', 'Feudal Dynasties', 'marriage', 'state', 'nation', 'Human Relationships', 'difficulties', 'factory', 'Building', 'laboratory', 'Human Body', 'career', 'Construction Workers', 'government']","[0.6850319751838303, 0.6379600722330501, 0.43889270273068814, 0.40053497264130616, 0.3910230581954492, 0.3854816624129607, 0.38466775123128705, 0.3727696431453012, 0.37012848630944467, 0.3592624457755773, 0.35832946354025486, 0.35601550380742863, 0.3497872365422478, 0.3443125000409333, 0.34407552077196535, 0.34169037697185467, 0.3312499114929949, 0.3248593660301672, 0.3244668250328746, 0.32263253230917366]"
300,husbandry,faith,The Hunt,-1,"['The Hunt', 'Horse Racing', 'house', 'marriage', 'Cooking', 'Fishing', 'Planting', 'respiration', 'Desert', 'cooking', 'Baking', 'human', 'Archeology', 'Air handling system', 'Houses', 'Machines', 'Archery', 'Factory System', 'Greenhouse', ""the factory's production line""]","[0.4126235307834531, 0.3711640243938811, 0.3556837325946096, 0.3461431908445266, 0.33487341935010057, 0.3332420466588569, 0.3318224964177702, 0.3314971204036505, 0.32979076898355697, 0.324086429638113, 0.3236705147906237, 0.3209219072139571, 0.31713578380848834, 0.313780333302066, 0.3134052241915185, 0.3104022715430791, 0.30952026233814617, 0.3076538106304303, 0.3075731890749528, 0.29895731515168295]"
301,beast,crime,The Hunt,-1,"['The Hunt', 'Group Behavior', 'human', 'Biological Evolution', 'forest', 'War', 'Urban Evolution', 'life', 'ambition', 'Competition', 'Buildings', 'Building', 'competition', 'The Brain', 'Evolution', 'Diseases', 'Tree', 'Machines', 'Ecosystem', 'Disease']","[0.5156965028199071, 0.37375983497696935, 0.36679497660959615, 0.36092528145266267, 0.3491709339265767, 0.3485153802571478, 0.34750046105457477, 0.34669643969262565, 0.34560983239892, 0.3365988315450019, 0.33523665258217733, 0.3337217920927201, 0.3312023677976561, 0.3309225614367035, 0.3274281292647578, 0.3220767738305043, 0.31746637979636183, 0.317429935730104, 0.3153760079896135, 0.31473073813913893]"
302,virus,crime,bacterial mutation,-1,"['bacterial mutation', 'life', 'Evolution', 'Diseases', 'Biological Evolution', 'illness', 'Disease', 'The Brain', 'Plants', 'The Nervous System', 'natural selection', 'code', 'River', 'Urban Evolution', 'Immunity', 'respiration', 'Ecosystem', 'Program Error', 'sponge', 'Operating System']","[0.481377522004204, 0.4578343115738585, 0.45488718657294347, 0.45452757037362645, 0.4500792186790759, 0.43269629179053126, 0.4141168344657115, 0.40949535938198045, 0.3736000104216889, 0.37036958232333306, 0.36307213410651823, 0.3590775748771812, 0.3525394663686242, 0.3499164916414943, 0.3490705786704061, 0.34256629442724357, 0.3314878995412241, 0.33111758123890966, 0.33049782968756886, 0.32710081747523273]"
303,battle,illness,War,-1,"['War', 'Army', 'debate', 'business', 'competition', 'Competition', 'Building', 'career', 'skill', 'difficulties', 'Occupation', 'The American War of Independence', 'American Civil War', 'The Hunt', 'Student', 'book', 'The Ring', 'understanding', 'Checkers', 'argument']","[0.5168048550244063, 0.48148339446748845, 0.41049972459695344, 0.3901278047969703, 0.3817676198762646, 0.3731853013558654, 0.35064734429825606, 0.34629059718447375, 0.33522294271889386, 0.3344500082864411, 0.3312382909633568, 0.3311452108709443, 0.3303189808727302, 0.32703748533580096, 0.3191590968669754, 0.31881560157322875, 0.31507171114777993, 0.3134309991634108, 0.31263491218959916, 0.3103354733937894]"
304,journey,illness,The Long Journey,-1,"['The Long Journey', 'career', 'find a shortest path on the map', 'Population Movement', 'Journey to the West', 'Bridge', 'knowledge', 'Healing', 'A Jigsaw Puzzle', 'ideas', 'Expressway', 'car', 'The Hunt', 'life', 'a three-dimensional puzzle', 'ambition', 'Into the Wild', 'Fishing', 'city', 'The Discovery of India']","[0.5162376394459777, 0.4628749083844787, 0.4065166776598873, 0.3866605864001222, 0.3691549925230658, 0.35374921046042046, 0.35003646718615794, 0.3338728329100825, 0.33109526386450205, 0.32917814673543877, 0.32755305893028763, 0.32615312380649175, 0.32543286275743544, 0.3247049895198805, 0.3233658941006683, 0.322872287922201, 0.3205588587020915, 0.31836912478927926, 0.3164103384418179, 0.31512701730193854]"
305,building,theory,Building,-1,"['Building', 'Buildings', 'Houses', 'house', 'Architecture', 'Walls', 'city', 'Building Structure', 'City', 'Construction Workers', 'Building Repair', 'Construction Work', 'Bridge', 'Library', 'Greenhouse', 'Bookshelf', 'Urban', 'society', 'factory', 'Greenhouses']","[0.91278097575173, 0.854746758441063, 0.6678517316387573, 0.6581698889725552, 0.6255633291572821, 0.5453599958176465, 0.5139078775164825, 0.5076216728681475, 0.49726687376397133, 0.4833432002069423, 0.4752552677261508, 0.47357486968730095, 0.4694302376723723, 0.4446503286440341, 0.44045199485170317, 0.4323525325338606, 0.42836471350507943, 0.4276316358659011, 0.4261302659697266, 0.41923908895838136]"
306,journey,love,The Long Journey,9,"['The Long Journey', 'career', 'find a shortest path on the map', 'Journey to the West', 'difficulties', 'ambition', 'Into the Wild', 'A Jigsaw Puzzle', 'love', 'ideas', 'The Puzzle', 'Maps', 'The Hunt', 'The Discovery of India', 'A Puzzle', 'life', 'Fishing', 'Solving Puzzles', 'a three-dimensional puzzle', 'Expressway']","[0.46428352446513793, 0.4445971002349242, 0.3946339196536536, 0.3830978682960837, 0.3792609547271415, 0.36251099551094534, 0.357305526378124, 0.3443559446865181, 0.3354921741435598, 0.33277823617557917, 0.33084666738770585, 0.32601170654488, 0.32348238327756507, 0.3203135588886453, 0.316133433848762, 0.31412780502206417, 0.3124066873748251, 0.31049406252173745, 0.2987570225616053, 0.2979809757320263]"
307,food,idea,Cooking,-1,"['Cooking', 'cooking', 'Burning Energy', 'life', 'Ecosystem', 'eating dinner', 'Plants', 'money', 'Baking', 'Planting', 'Buildings', 'Spread of Fire', 'time', 'society', 'ecosystem', 'Music', 'sport', 'Human Body', 'Gourmet', 'Fishing']","[0.5412223730984755, 0.4987744418260952, 0.45717139158326725, 0.4491351529913497, 0.44505903616584086, 0.4246408453972442, 0.4145070921843331, 0.4077093456721518, 0.3968504715403182, 0.39352958662279425, 0.3931549222648982, 0.390962394699061, 0.3827283925939178, 0.38191928873784475, 0.37993966140621016, 0.3768968917536777, 0.3705568126203644, 0.3626698233425899, 0.36160078504170406, 0.35689239841953024]"
308,hunger,ambition,poverty,4,"['poverty', 'illness', 'The Hunt', 'ambition', 'Population Movement', 'eating dinner', 'Disease', 'Diseases', 'Urban Entropy Increase', 'competition', 'Declaration of Human Rights', 'Ecosystem', 'Occupation', 'Conservation of Water Flow', 'City', 'city', 'money', 'difficulties', 'Cooking', 'Blindness']","[0.5365978567667986, 0.372727958957348, 0.34995498430588534, 0.3307002661536875, 0.32357381440198263, 0.322344785759053, 0.2997819175598293, 0.29899736357490025, 0.294238827814903, 0.29398809953954486, 0.29287437729374993, 0.2905726746373706, 0.28842275397229467, 0.2883982598685959, 0.2880016979079079, 0.2869454295062165, 0.2832626116480854, 0.2823612851345495, 0.28201103702688823, 0.28096846657643426]"
309,courtship,politics,marriage,12,"['marriage', 'Human Relationships', 'competition', 'society', 'Competition', 'The Hunt', 'family', 'Cooking', 'cooking', 'love', 'Families', 'politics', 'Sailing', 'crime', 'debate', 'eating dinner', 'Archery', 'Archeology', 'clock', 'Feudal Dynasties']","[0.4913567445654627, 0.3905116167505809, 0.3814053111579837, 0.3704126944744167, 0.3579416853271069, 0.34116551659256394, 0.32360072208650814, 0.3229860295399801, 0.3193872122213217, 0.3162079045365885, 0.3159594048014695, 0.30907700199343924, 0.30551894148097963, 0.30293309019311665, 0.2980605118655706, 0.29138168259142905, 0.29066695402464593, 0.28399093987089213, 0.28244009233298656, 0.2776600519138805]"
310,commerce,love,business,-1,"['business', 'money', 'Supply Chain', 'competition', 'crime', 'Competition', 'Occupation', 'company', 'Construction Work', 'Financial Markets', 'Circular Economy', 'Mail', 'car', 'sport', 'Car', 'Machines', 'Ecosystem', 'ecosystem', 'Translation', 'government']","[0.49250432868252725, 0.4892971614021777, 0.44182240700905573, 0.4257063699393444, 0.4077009986348928, 0.4074942105325252, 0.39225331802971464, 0.38716820520514955, 0.3831522925130502, 0.3794085045971918, 0.3783117404454709, 0.37267498160217905, 0.3667375023518561, 0.3479122655560487, 0.34760594140485424, 0.3454797447805532, 0.34434571107367484, 0.33641574231995175, 0.33622284449675854, 0.3357872959381631]"
311,train,society,car,-1,"['car', 'Car', 'Transportation Systems', 'Machines', 'engine', 'Tree', 'Factory', 'Power Generation', 'Sailing', 'heat transfer', 'Urban Transportation', 'line', 'theory', 'Horse Racing', 'River', 'Time Machine', 'Printers', 'Factory System', 'The Second Industrial Revolution', 'Bridge']","[0.47540996459954726, 0.4191909765799985, 0.4177407229702038, 0.3848661916253071, 0.3828522190481123, 0.3604321452672253, 0.34755026973260106, 0.34067325024892114, 0.334219662213203, 0.3331915109104373, 0.3272435843603447, 0.3271589343711594, 0.3228357450530806, 0.32015946582828525, 0.3165225723994516, 0.3111635753316512, 0.3106821657504568, 0.3085792109132574, 0.3074039864625603, 0.3066802144313632]"
312,journey,career,The Long Journey,2,"['The Long Journey', 'career', 'car', 'find a shortest path on the map', 'Car', 'Transportation Systems', 'Population Movement', 'Bridge', 'Journey to the West', 'Expressway', 'A Jigsaw Puzzle', 'engine', 'Vehicle Traffic', 'Circuits', 'knowledge', 'The Puzzle', 'Time Machine', 'research', 'difficulties', 'money']","[0.45732138203035544, 0.44625062657565046, 0.41067790067799714, 0.410674017984075, 0.3921971131278741, 0.3720392860028933, 0.3611773102485015, 0.3470495087035065, 0.345339217628723, 0.34464435052941633, 0.3388741174691943, 0.33665493029298965, 0.3353834985766656, 0.32917700411596723, 0.3267659058680689, 0.325420184061897, 0.3225562926550748, 0.3204414430463013, 0.31902690000578793, 0.3180532021677925]"
313,family,state,family,-1,"['family', 'Families', 'society', 'nation', 'Pedigree Trees', 'Human Relationships', 'house', 'Feudal Dynasties', 'marriage', 'Houses', 'Factory', 'factory', 'faith', 'life', 'Ecosystem', 'poverty', 'love', 'government', 'Disease', 'Human Body']","[0.9154330726793357, 0.8648379308065131, 0.4592431009089157, 0.4384148803100183, 0.4376304140097354, 0.42356102709486954, 0.4146167697580778, 0.4102485730864189, 0.4076921219230052, 0.3901681633684744, 0.38625664887018374, 0.38371752622865696, 0.38177705558122493, 0.3705185462634413, 0.3592862497977226, 0.3585003441089638, 0.3556017262886869, 0.35408498447673187, 0.35310159819656783, 0.3475556265519398]"
314,game,politics,sport,-1,"['sport', 'The Puzzle', 'A Puzzle', 'A Pinball Game', 'basketball', 'Football Game', 'Checkers', 'A Jigsaw Puzzle', 'Competition', 'Fishing', 'competition', 'a three-dimensional puzzle', 'education', 'skill', 'Dominoes', 'The Hunt', 'Solving Puzzles', 'Group Behavior', 'Machines', 'Building']","[0.5504159556450834, 0.5170024227594905, 0.49189126501562425, 0.49005143549520175, 0.4728309883349028, 0.4468841719723383, 0.4408507880101369, 0.42535015327543396, 0.416659086154184, 0.40830304805138484, 0.40448350898807783, 0.3992606544237116, 0.3970406072717547, 0.39454730421715356, 0.39281522296249627, 0.3913585342890794, 0.38878635118596677, 0.3777241346666833, 0.37362721341399563, 0.3735840315782492]"
315,theatre,politics,Drama,16,"['Drama', 'Music Performance', 'Dance', 'theory', 'Music', 'Translation', 'Urban', 'society', 'Architecture', 'sport', 'Drawing', 'camera', 'Buildings', 'company', 'debate', 'politics', 'The Hunt', 'heat transfer', 'Machines', 'life']","[0.6118335996400496, 0.43252764124473164, 0.4308883573271135, 0.4136517659674144, 0.377109644809626, 0.3676386489860435, 0.3549114021409845, 0.3482213223450163, 0.347478962658914, 0.3240964303479089, 0.32406999800290726, 0.3232807184099233, 0.3155766064484025, 0.3151995377935468, 0.314820203734553, 0.3127702895131571, 0.31251751311701026, 0.31119054710779437, 0.3083914272168967, 0.30694736323853183]"
316,machine,politics,Machines,-1,"['Machines', 'Computer', 'engine', 'car', 'Car', 'Factory', 'factory', 'Robotic Movement', 'money', 'CPU', 'Manual', 'Factory System', ""the factory's production line"", 'Printers', 'Computer Processor', 'Printers Print Documents', 'program', 'Robotic arm', 'Time Machine', 'Human Body']","[0.8383513908617477, 0.5893897117898541, 0.5669194560119222, 0.509991258919074, 0.49588734010079943, 0.4936559490144351, 0.47652778983615773, 0.4748386354567753, 0.43416174607071994, 0.42808036735226956, 0.42793453066783604, 0.42667066156200767, 0.41984427340557684, 0.4194761755305262, 0.4191566731160022, 0.41642112279506066, 0.4116867627084184, 0.40738401029825166, 0.4037743207571611, 0.39943072960384446]"
317,game,marriage,The Puzzle,-1,"['The Puzzle', 'A Puzzle', 'sport', 'A Pinball Game', 'Checkers', 'Dominoes', 'A Jigsaw Puzzle', 'a three-dimensional puzzle', 'Solving Puzzles', 'Competition', 'basketball', 'competition', 'Fishing', 'skill', 'Football Game', 'education', 'Archery', 'Machines', 'The Hunt', 'society']","[0.5233521689383133, 0.5114032963319914, 0.5071447405182515, 0.4889726838068762, 0.4664780988998937, 0.46550138433889304, 0.4646080002753911, 0.4209174750128426, 0.41989310754005355, 0.4174783577402428, 0.41654649592907156, 0.402064411358433, 0.39307833103010903, 0.3902007783075088, 0.3886854692603463, 0.38784898864532014, 0.3830552559903626, 0.38284532994363946, 0.3779323275340536, 0.3706294460929101]"
318,war,business,War,-1,"['War', 'Army', 'competition', 'Competition', 'The War Against Japan', 'American Civil War', 'The Hunt', 'Walls', 'sport', 'career', 'wound', 'Disease', 'The American War of Independence', 'theory', 'car', 'Diseases', 'human', 'Occupation', 'politics', 'love']","[0.7807349399509844, 0.41607845997612225, 0.4079421243397816, 0.3978548995537844, 0.36298790911845313, 0.3495794362247912, 0.3425336070724523, 0.3358778140271823, 0.33022277281147994, 0.3061889303572395, 0.304915202621207, 0.30482788896131435, 0.30348899985888633, 0.3032802030247711, 0.3012460795213887, 0.300161559483642, 0.2989843662842606, 0.2970789499755142, 0.2954021385575275, 0.2936772988975308]"
319,disease,crime,Disease,-1,"['Disease', 'Diseases', 'illness', 'Deafness', 'life', 'Healing', 'wound', 'Heart', 'Group Behavior', 'Human Body', 'difficulties', 'Program Error', 'poverty', 'society', 'ecosystem', 'Drug Treatment', 'Building', 'Machines', 'Ecosystem', 'laboratory']","[0.8796903279049713, 0.8585811382549471, 0.6802387811739807, 0.45254115302094144, 0.40571433978887683, 0.40261593101367527, 0.3983328406438939, 0.3974794006139003, 0.39385557862513443, 0.388880950859644, 0.37833640877216723, 0.37150558952523677, 0.36536081293643097, 0.36379581137950934, 0.35702741332368193, 0.35134050547197104, 0.35061670047594046, 0.34954096477600893, 0.34831044530103766, 0.3478490105769088]"
320,bakery,laboratory,Baking,15,"['Baking', 'Cookie Making', 'Recipes', 'Printers', 'Building', 'cooking', 'Cooking', 'Buildings', 'business', 'Library', 'Gourmet', 'Bookshelf', 'Ice Cream', 'Printers Print Documents', 'laboratory', 'Warehouse', 'the cleaners', 'Circuits', 'factory', 'shelf']","[0.6032748403040513, 0.43174748117682193, 0.35911209938807204, 0.3367571865908786, 0.3312501131978953, 0.3266446145455972, 0.3223215828792748, 0.31757689251767307, 0.31739756972268174, 0.31569758248436786, 0.31560295167308605, 0.3125632095942322, 0.30989145804577534, 0.30742222407174336, 0.2956617270726325, 0.2892358376145353, 0.2836515322326789, 0.28200009993366887, 0.27431583574959906, 0.2742982024189488]"
321,stationery,mind,Printers,-1,"['Printers', 'Printers Print Documents', 'Drawing', 'The Writing System', 'Circuits', 'Buildings', 'File Cabinet', 'the cleaners', 'Student', 'the replicator', 'ideas', 'Printing', 'book', 'research', 'Computer', 'Machines', 'money', 'edit', 'career', 'Origami']","[0.5030809334355012, 0.47933400274248755, 0.4496251652235615, 0.4256592877780566, 0.4107853407955648, 0.4034204192026672, 0.39855821236832406, 0.39843524419187804, 0.37797676409192116, 0.3756309722248832, 0.3658527387630718, 0.36482014599845514, 0.363429910717346, 0.3591329920651589, 0.3579126269524993, 0.35338216057077154, 0.3511153339893925, 0.3507009115915826, 0.34961653160383666, 0.34121951450933863]"
322,jacket,wound,Blankets,-1,"['Blankets', 'Building', 'A Jigsaw Puzzle', 'Houses', 'house', 'Skin System', 'career', 'Buildings', 'A Puzzle', 'Circuits', 'a three-dimensional puzzle', 'book', 'The Puzzle', 'File Cabinet', 'Bookshelf', 'Machines', 'Air handling system', 'Printers', 'Car', 'Sun Protection']","[0.5062079650926404, 0.3769512867338695, 0.35906635713958285, 0.3587214150683204, 0.33771217822811705, 0.3348278720737001, 0.33316291122167185, 0.3212090744081641, 0.32012561708571974, 0.30774377606281766, 0.3056000923960036, 0.30440841805507024, 0.30001497422146195, 0.29453252360537024, 0.29186625585821807, 0.2911755806181727, 0.2903636353398666, 0.28937654285263004, 0.28676833388477285, 0.281828161672743]"
323,train,signal,car,-1,"['car', 'Transportation Systems', 'Car', 'Machines', 'Factory', 'Tree', 'engine', 'The Second Industrial Revolution', 'Urban Transportation', 'Factory System', 'lift', 'line', 'River', 'Bridge', 'Computer', 'theory', 'heat transfer', 'Time Machine', 'Sailing', 'factory']","[0.46298701135177867, 0.44183931531300236, 0.4150530259541677, 0.39526078716494445, 0.3666376773677635, 0.3610994077658967, 0.35683519051924195, 0.345223537959902, 0.34335541602510383, 0.34090979569689334, 0.33277901308356783, 0.33118956512892916, 0.32960159946633416, 0.3226226064285464, 0.32258779256229353, 0.3224251937538341, 0.3209842284327402, 0.31777802263830324, 0.3176537219153748, 0.31598142090179565]"
324,mind,universe,mind,-1,"['mind', 'memory', 'The Brain', 'How the Human Brain Works', 'The Nervous System', 'idea', 'human', 'Human Body', 'Math', 'accepting a belief', 'knowledge', 'life', 'ideas', 'time', 'money', 'The Puzzle', 'Machines', 'illness', 'understanding', 'A Puzzle']","[0.9371860749256146, 0.553414376261048, 0.51265101238191, 0.4593100898801157, 0.4337544417339625, 0.4126864946128549, 0.40286516213802737, 0.3950082401094631, 0.39173220326111957, 0.39031907704354124, 0.3719759083490087, 0.3698852763590088, 0.36764245531795303, 0.36597784845252457, 0.3580765944550396, 0.3477639774393567, 0.34591856515334285, 0.3435717435369455, 0.34175199777909393, 0.3410701023934005]"
325,football,basketball,Football Game,3,"['Football Game', 'sport', 'basketball', 'Horse Racing', 'Competition', 'Music', 'Archery', 'politics', 'A Pinball Game', 'Dance', 'Christianity', 'Fishing', 'Music Performance', 'faith', 'Checkers', 'Sailing', 'Dominoes', 'competition', 'business', 'Financial Markets']","[0.699407547917412, 0.6341693589199, 0.5433288296642957, 0.3363652825581189, 0.3240064468932668, 0.3227970961516083, 0.3189548479269399, 0.3168848301166226, 0.3162654405409635, 0.3085883408364145, 0.30850707923747855, 0.305250651758178, 0.2986529376428868, 0.2951582923173882, 0.29138746285079486, 0.2889646237890311, 0.2880061491579288, 0.2874858447451061, 0.28617086847646445, 0.28595758650588066]"
326,farm,company,factory,-1,"['factory', 'Factory', 'Planting', 'Greenhouse', 'Families', 'Machines', 'Plants', 'family', ""the factory's production line"", 'Factory System', 'forest', 'house', 'laboratory', 'Army', 'Greenhouses', 'Houses', 'The Production Line of a Car Factory', 'Buildings', 'Desert', 'city']","[0.5502662520699635, 0.5469430916749125, 0.49762776441425705, 0.4608738378615301, 0.4348959170401611, 0.43073549089643715, 0.4305891270105532, 0.4154274791571, 0.4128392376240991, 0.4119696405071734, 0.3917253463465584, 0.38676255925223746, 0.3775817651775357, 0.3696018392907473, 0.3647888585703616, 0.3560036283683421, 0.3553643691455164, 0.3531436358052197, 0.35134559983296, 0.3456693794389865]"
327,eating breakfast,eating dinner,eating dinner,1,"['eating dinner', 'Burning Energy', 'Cooking', 'cooking', 'Human Body', 'Baking', 'respiration', 'day and night cycle', 'Recipes', 'Blankets', 'Heart', 'clock', 'Planting', 'Makeup', 'Buildings', 'CPU', 'life', 'time', 'Cookie Making', 'Fishing']","[0.4913274833927767, 0.3699968117807393, 0.35614215134396354, 0.3199382404586042, 0.3145955176195868, 0.3045057199272715, 0.3034733281988555, 0.2786400315013595, 0.27682433663173606, 0.27029315714422536, 0.261932450380118, 0.2611242693255419, 0.2606871320042884, 0.2576634461240233, 0.25529569203298835, 0.2548590820729476, 0.2530310367694156, 0.2505293052387017, 0.24086392248763833, 0.2407928674117042]"
328,Fiction,Architecture,Drama,-1,"['Drama', 'Factory', 'factory', 'Drawing', 'Fishing', 'family', 'Families', 'The Puzzle', 'theory', 'Music', 'innovation', 'the replicator', 'Translation', 'faith', 'knowledge', 'book', 'crime', 'Crime Scene', 'Friction', 'Dance']","[0.523152460122239, 0.355065707874222, 0.3523703752816494, 0.33441182208616943, 0.3337156358707245, 0.3333456070515253, 0.3318532102073545, 0.33150559771645516, 0.32914072431848845, 0.32720531310677614, 0.32512669332445926, 0.3197180362029439, 0.3193799192117427, 0.3183277264617124, 0.31491485085737814, 0.31416916598852074, 0.3133363478988901, 0.31260410951508405, 0.31028579394683625, 0.3086743003491129]"
329,Poetry,Music,Dance,2,"['Dance', 'Music', 'Drama', 'A Puzzle', 'The Writing System', 'Architecture', 'Dictionary', 'The Puzzle', 'Makeup', 'Music Performance', 'politics', 'Translation', 'book', 'Origami', 'Alphabet', 'ideas', 'Solving Puzzles', 'Printing', 'Buildings', 'Printers']","[0.3922712700129685, 0.3922639440406792, 0.37052558101935684, 0.3584958092157675, 0.35362595185302625, 0.34980143065701474, 0.34424615901085387, 0.34142032245267473, 0.33962366636831887, 0.3257656724860545, 0.32474997879955714, 0.32093671537105634, 0.31956128823510466, 0.3110985544573829, 0.30987085861505925, 0.3034857212644254, 0.3019165961831162, 0.29720305642900313, 0.29696837081158617, 0.2958163559611567]"
330,Article,River,Typo,-1,"['Typo', 'edit', 'argument', 'idea', 'book', 'atom', 'Printers', 'Manual', 'camera', 'Car', 'Translation', 'Information Flow', 'ideas', 'Building', 'Printers Print Documents', 'career', 'Circuits', 'research', 'Computer', 'The Writing System']","[0.4569619585294181, 0.38139933712653196, 0.3774785201102018, 0.3606318839443917, 0.35476796008696315, 0.35354117742615654, 0.34327161134755824, 0.3348701372658172, 0.3324124697659402, 0.33179882690799894, 0.33158813641008966, 0.33063764881487384, 0.32648816198648467, 0.32363293551443373, 0.3215088670532762, 0.3188740478519373, 0.31876983481346854, 0.3183229168591437, 0.3175257928080098, 0.3169814922697351]"
331,Fiction Structure,Houses,Drama,14,"['Drama', 'family', 'The Puzzle', 'book', 'factory', 'Families', 'Buildings', 'Music', 'Factory', 'theory', 'Library', 'Information Flow', 'Fishing', 'Houses', 'Origami', 'nation', 'The Writing System', 'Building', 'Circuits', 'Machines']","[0.5431701600779438, 0.3709452312069043, 0.3616857622721503, 0.3611020579831145, 0.3588831125770902, 0.35748330962221053, 0.34869634060503935, 0.3407108921227292, 0.33986769054033794, 0.33769789901196495, 0.3367054726574735, 0.3366707612339217, 0.33666613297422043, 0.33228594598822936, 0.32849500257058406, 0.32801933011235185, 0.32684033160890485, 0.32674314434173835, 0.3264954705421099, 0.3261405543600186]"
332,plot,line,Drama,2,"['Drama', 'line', 'ideas', 'idea', 'Maps', 'Planting', 'Drawing', 'Crime Scene', 'time', 'A Puzzle', 'career', 'nation', 'The Puzzle', 'theory', ""the factory's production line"", 'Recipes', 'Printers', 'CPU', 'The Movie', 'program']","[0.4442785595850177, 0.37119631873730907, 0.32892031980270353, 0.3148324695995588, 0.30596373982055414, 0.30487306604330355, 0.30137697661218465, 0.2984986865568091, 0.2912487728681237, 0.2876028912443147, 0.28279103702315805, 0.28045605427680786, 0.2798533887915102, 0.27747650049634776, 0.2767567944789884, 0.27592488875981325, 0.2756168044738303, 0.27509678352995526, 0.2750257682881736, 0.2732163278841977]"
333,Article,Recipes,Typo,20,"['Typo', 'argument', 'edit', 'book', 'idea', 'Manual', 'ideas', 'debate', 'career', 'Insurance Contract', 'The Puzzle', 'A Puzzle', 'theory', 'research', 'Information Flow', 'education', 'Car', 'Translation', 'Building', 'Recipes']","[0.4514565505737409, 0.3972656618292005, 0.3772667735528195, 0.37184230350899233, 0.35832770603478703, 0.3505842263191441, 0.3474269772573755, 0.3474034949903495, 0.326968563419968, 0.321988992623111, 0.3201724049265981, 0.31927353997998575, 0.3182886108334073, 0.31673322912204516, 0.31523890426763085, 0.3121565551130591, 0.31048047279965985, 0.3093650954148294, 0.3048013496367692, 0.30430681939928705]"
334,Poetry,Bridge,Dance,-1,"['Dance', 'Music', 'Drama', 'The Writing System', 'A Puzzle', 'Dictionary', 'The Puzzle', 'Music Performance', 'Translation', 'Architecture', 'Fishing', 'Alphabet', 'Makeup', 'Drawing', 'Typo', 'Printers', 'book', 'argument', 'theory', 'nation']","[0.4185388994276036, 0.4087214935552144, 0.3937941330791279, 0.37542587746543177, 0.3440346417095034, 0.34132096772728593, 0.3411045246771776, 0.3377694839247023, 0.3354793181364476, 0.331576463539391, 0.30967981194121375, 0.3093660049755236, 0.30819889269045253, 0.30774245376460224, 0.30499347542119976, 0.3041592297354877, 0.3032932526161477, 0.3021813843781006, 0.301859900077692, 0.3013396164356988]"
335,Drama,Competition,Drama,19,"['Drama', 'Dance', 'Music Performance', 'debate', 'Drawing', 'Music', 'Architecture', 'Origami', 'society', 'Disease', 'A Distributed Computing System', 'sport', 'crime', 'Crime Scene', 'Democracy', 'eating dinner', 'argument', 'theory', 'Competition', 'politics']","[0.9152949870463104, 0.4816700226256407, 0.4217016352723385, 0.39932006821691063, 0.39076633488590307, 0.3678120381771176, 0.3529588939019872, 0.34596485159764007, 0.3447673803803667, 0.3398985019913728, 0.33525572725821884, 0.3339087360848152, 0.33345302649442, 0.33241700859416584, 0.3321755723958771, 0.3274842310878995, 0.3239082615550424, 0.3237755872210622, 0.31386222140292663, 0.308149523005503]"
336,Writing,Drawing,The Writing System,3,"['The Writing System', 'Translation', 'Drawing', 'Music', 'edit', 'code', 'understanding', 'Architecture', 'knowledge', 'ideas', 'Wave Propagation', 'Printers', 'Printing', 'book', 'mind', 'idea', 'human', 'Deciphering the Code', 'War', 'Alphabet']","[0.6823288541392765, 0.42713475676270485, 0.42617877113676683, 0.4222611029517368, 0.40860777197130355, 0.4009368014974636, 0.3971395755044906, 0.3919475985392994, 0.3847133937853214, 0.3816502086901025, 0.380337009374129, 0.380211703369863, 0.3791293352948537, 0.37402559498697363, 0.3740130854846152, 0.37191986600790405, 0.3709984660162958, 0.37028065398195675, 0.3695171639304446, 0.36950449810615427]"
337,movie,car,The Movie,20,"['The Movie', 'Music', 'camera', 'Drama', 'Dance', 'Machines', 'Camera', 'Music Performance', 'mind', 'Maps', 'money', 'company', 'book', 'idea', 'Makeup', 'Drawing', 'edit', 'ideas', 'Translation', 'car']","[0.4550784309195955, 0.42708794011906753, 0.4196002179296628, 0.3935740287198961, 0.39128816837641084, 0.3656777784664244, 0.35405884938962184, 0.3504998522522361, 0.3477385177525565, 0.3458649394081763, 0.34360210421752113, 0.3387474511919797, 0.33250802912322425, 0.327486930053037, 0.32377212718735227, 0.3205983348670045, 0.31511241073790697, 0.312572397339437, 0.3089529410320513, 0.30498677737323]"
