id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties,baseline
314,game,politics,"['politics', 'marriage']",sport,-1,0,[],[],"['sport', 'basketball', 'Football Game']","[0.5950715671067351, 0.4749932916071068, 0.43435495221013404]",name_properties,"game. game, player, bet, rules, playground, ball, toy","A game is an activity that provides entertainment, either individually or in a team setting. Players aim to achieve specific goals according to established rules that govern the game, and they may face different challenges that require mental or physical interaction. While games can be played for fun, they may also serve as an educational tool or help develop practical skills. Additionally, some games allow individuals to place a bet, making the gameplay even more exciting. Games have been a part of human experience since ancient times - from royal games like the Royal Game of Ur to sports like football, which involves a ball played on a playground. It is important to note that a toy and a game differ in that games have rules to follow, while toys allow for unrestricted play.","game, player, bet, rules, playground, ball, toy",embedding_top3
315,theatre,politics,"['life', 'politics']",Drama,-1,0,[],[],"['Drama', 'Painter and Critic', 'Competition']","[0.4819716397007975, 0.44547729237923717, 0.43928013648825104]",name_properties,"theatre. theatre, actor, performance, stage, critic, audience, audience","Theatre is a dynamic and collaborative performing art that brings a real or imagined event to life through live performers such as actors and actresses on a stage. The experience is communicated to the audience through various elements such as gesture, speech, song, music, and dance along with painted scenery and lighting effects to create an immersive environment. The word ""theatre"" derives from Greek, meaning ""a place for viewing"" and has evolved over time with borrowed themes and terminology from ancient Greek theatre. Theatrical language, stage writing, and theatricality altogether make theatre unique from other performing arts. A theatre company produces theatrical performances with a group of theatrical performers working together. Modern theatre encompasses plays and musicals, as well as the art forms of ballet and opera. Critiques and reactions from the audience play a vital role in shaping the success of a performance. Overall, theatre remains a powerful form of art that reflects the complex emotions and experiences of the human condition.","theatre, actor, performance, stage, critic, audience, audience",embedding_top3
316,machine,politics,"['mind', 'politics']",Machines,-1,0,[],[],"['Machines', 'lubrication system', 'CPU']","[0.5404480857793715, 0.4704925234081485, 0.44266695587505894]",name_properties,"machine. machine, politician, algorithm, operator, oil, oil, oil, breakdown, rust","A machine is a powerful mechanism that utilizes various types of energy, including chemical, thermal or electrical, to control movement and apply force to perform specific actions. From cars to airplanes and home appliances like computers and air handling systems, modern machines are complex and multifaceted systems consisting of structural elements, control components, and mechanisms. They are used in various areas of life, including transportation, industry, agriculture, and many more. While machines are designed to run efficiently, they are susceptible to breakdowns due to a variety of factors such as rust and lack of maintenance. Despite their potential to function autonomously, machines may require human intervention and guidance from operators to function correctly. Additionally, algorithms and sensors can be used to monitor and optimize the performance of machines. Despite the critical role of machines in society, they remain an area of debate in politics, particularly in regards to oil and its impact on the environment.","machine, politician, algorithm, operator, oil, oil, oil, breakdown, rust",embedding_top3
317,game,marriage,"['politics', 'marriage']",sport,-1,0,[],[],"['sport', 'competition', 'Competition']","[0.5387111328777705, 0.49310395360075354, 0.46464900459131764]",name_properties,"game. game, player, playground, match, defeat","A game is an activity that provides entertainment, enjoyment, and can even be used as an educational tool. Players can participate in games either alone, in teams, or online, which can lead to personal achievement, reward, and satisfaction. Games typically involve a set of rules that challenge the player's mental or physical abilities or both. A game can be played for fun or can involve competition where players can challenge themselves with their opponents. These games can be used to teach practical skills, act as a form of exercise or simulate real-life scenarios. Games have been part of human civilization for centuries and are present in all cultures. The Royal Game of Ur, Senet, and Mancala are some examples of early games. Children enjoy playing games during their playground time as it is an opportunity to compete against their friends, match their skills, and sometimes even defeat them. It encourages healthy competition and helps with their social and emotional development. It's important to note that while games present rules and challenges, toys allow for unrestricted play.","game, player, playground, match, defeat",embedding_top3
318,war,business,"['argument', 'sport', 'business']",War,-1,0,[],[],"['War', 'Army', 'Great Wall']","[0.7268446173917673, 0.6131681243407906, 0.4767383102912094]",name_properties,"war. war, enemy, battlefield, weapon, weapon, weapon, soldier, trophy, trophy, trophy, general, army, army","War is a violent conflict between enemies that takes place on a battlefield using various weapons. It involves soldiers and generals who lead armies into battle. The goal of war is to defeat the enemy and claim victory. Trophies are often taken by soldiers as a sign of their triumph in battle. While some may argue that war is a natural aspect of human behavior, others attribute it to specific circumstances such as socio-cultural, economic, or ecological factors. Regardless of its origins, war is characterized by extreme violence, destruction, and a high number of casualties, both military and civilian.","war, enemy, battlefield, weapon, weapon, weapon, soldier, trophy, trophy, trophy, general, army, army",embedding_top3
319,disease,crime,"['poverty', 'crime']",illness,-1,0,[],[],"['illness', 'Disease', 'Diseases']","[0.698197513522165, 0.5893199995074783, 0.49396728600955375]",name_properties,"disease. disease, virus, assessment, quarantine, diagnosis, surgery, patient","A disease is a medical condition that negatively impacts the structure or function of an organism, and can be caused by factors such as pathogens or internal dysfunctions. Diseases can have a wide range of effects, including pain, dysfunction, social problems, or even death. Different types of diseases include infectious, deficiency, hereditary, and physiological, and they can be studied through the field of pathology. Diagnosing diseases is an important aspect of medical care, and may involve assessing symptoms, quarantining patients, and performing surgery if necessary.","disease, virus, assessment, quarantine, diagnosis, surgery, patient",embedding_top3
320,bakery,laboratory,['laboratory'],Baking,-1,0,[],[],"['Baking', 'Cookie Making', 'cooking']","[0.7148168898066776, 0.5715064644575127, 0.4666485159132736]",name_properties,"bakery. baker, cake, recipe, ingredients","A bakery is a delightful haven for all lovers of baked goods. This establishment specializes in creating mouth-watering delicacies such as bread, cookies, cakes, and pies baked in an oven. At a bakery, you can also find confectionery items such as donuts and pastries. Many of these bakeries also double as cafes, serving tea and coffee to customers who wish to savor the freshly-baked goods on the premises.

Behind every successful bakery, there is a skilled baker who knows the ins and outs of baking. With years of experience and a wealth of knowledge, bakers create delicious cakes and pastries. These bakers use carefully selected recipes and ingredients to create irresistible baked goods that keep customers coming back for more. As a result, customers can always expect high-quality, flavorful products from their local bakery.

Overall, bakeries are a must-visit for anyone with a sweet tooth. So, whether you're in the mood for a slice of cake or a flaky croissant, make sure to visit your nearest bakery to indulge in the delicious treats crafted by skilled bakers.","baker, cake, recipe, ingredients",embedding_top3
321,stationery,mind,['mind'],the replicator,-1,0,[],[],"['the replicator', 'The Writing System', 'education']","[0.4965839499788305, 0.4718418984496999, 0.41265086437263704]",name_properties,"stationery. eraser, pencil, paper","Stationery is an essential part of daily office or personal work. It refers to a wide range of commercially produced materials that can be used for writing, including cut paper, envelopes, continuous form paper, and other office supplies. For those who want to jot down their thoughts on paper, stationery has a wide range of items that can be used for different purposes. Whether you're looking for materials to write on by hand or by equipment like computer printers, stationery has everything you need. 

The most basic forms of stationery are pencils, erasers, and paper. Pencils are a writing instrument that has been in use for decades. They are a great alternative to pens, as they can be erased if any mistakes are made. Erasers are an essential tool that allows you to erase your mistakes and start again without wasting any paper. Paper is the most important part of stationery, as it is where ideas can come to life. With different types of paper available for different uses, from letter paper to notepads to graph paper, stationery can meet all of your writing needs. 

Overall, stationery is a crucial part of our lives that allows us to express our thoughts and ideas. The combination of various stationery tools provides a smooth and efficient work experience. With endless options to choose from, stationery can meet all your writing needs and make your work more fun and creative.","eraser, pencil, paper",embedding_top3
322,jacket,wound,['wound'],gas molecules,-1,0,[],[],"['gas molecules', 'heat', 'A Puzzle']","[0.3881930386280013, 0.3654376755675831, 0.35881591874661745]",name_properties,"jacket. jacket, zipper, cold","A jacket is a versatile piece of clothing that can serve as both a fashion statement and protective gear against the cold. It is an upper body garment that is typically fastened at the front using a zipper, buttons, or hook-and-loop closures. The purpose of a jacket is to provide warmth and insulation, but it can also be worn for style and fashion. Jackets come in various designs and styles, ranging from the classic denim jacket to the more formal blazer. Some jackets are waterproof and windproof, making them ideal for outdoor activities or weather conditions. In colder climates, a jacket is an essential piece of clothing to keep the body warm and comfortable. It can be worn over layers of clothing or as a standalone piece depending on the temperature. Whether you are dressing up for a night out or running errands on a chilly day, a jacket is a great addition to any wardrobe.","jacket, zipper, cold",embedding_top3
323,train,signal,"['society', 'signal']",signal,1,1,['signal'],[1],"['signal', 'car', 'Horse Racing']","[0.40615426126640886, 0.40535514943647716, 0.3975526382073783]",name_properties,"train. train, track, steel","A train is a mode of transport that runs on tracks, typically made of steel, and is used to transport passengers or cargo. Trains are composed of connected vehicles, pulled or pushed by locomotives, and are designed to a certain gauge or distance between rails. Since their inception in the 1800s, trains have revolutionized transportation by providing a faster, cheaper alternative to moving freight and people over land. While most trains operate on steel tracks with steel wheels, specialized trains such as monorails, funiculars, and rack railways exist for unique situations. In modern times, trains are increasingly seen as a more environmentally friendly mode of land transport due to their greater fuel efficiency and lower greenhouse gas emissions compared to other land transport options. The development of high-speed rail and trains that use alternative fuels such as natural gas and hydrogen are some notable advancements in the 21st century.","train, track, steel",embedding_top3
324,mind,universe,['universe'],mind,-1,0,[],[],"['mind', 'The Brain', 'How the Human Brain Works']","[0.5853425456957706, 0.5662204424148134, 0.5079526339055407]",name_properties,"mind. thoughts, brain, neurons","The mind is a complex set of faculties that are responsible for all mental phenomena, including thoughts, imagination, memory, will, and sensation. These faculties are associated with various mental phenomena, such as perception, pain experience, belief, desire, intention, and emotion. The traditional view of minds as substances is no longer prevalent; instead, contemporary perspectives consider them as properties or capacities of humans and higher animals. The study of the mind raises central questions about whether other entities have minds besides humans, and how we can conceive of the relationship between the body and the mind. The mind-body problem is one of the fundamental issues of philosophy, with various views such as dualism, physicalism, idealism, and functionalism. Moreover, different cultural and religious traditions have different concepts of the mind. Psychologists and computer scientists have developed influential theories about the nature of the mind, while the field of artificial intelligence explores the possibility of non-biological minds. The mind is also sometimes depicted as the stream of consciousness where sense impressions and mental experiences are continually changing. Despite diverse approaches, the mind remains a fascinating yet elusive object of inquiry, and the study of its relationship with the brain and neurons continues to be a significant area of research.","thoughts, brain, neurons",embedding_top3
325,football,basketball,['basketball'],sport,3,1,['basketball'],[3],"['sport', 'Football Game', 'basketball']","[0.5404176437086613, 0.5339463296860125, 0.4257344150609995]",name_properties,"football. goal, soccer, grass, feet","Football is a team sport that involves kicking a ball with the feet in order to score a goal. It is commonly referred to as soccer in North America, Ireland and Australia. The game is played on grass and involves teamwork, strategy, and athleticism. Football has a rich history and has been played in various forms and codes around the world. It has become one of the most popular team sports globally, with millions of fans and players worldwide. In football, the ultimate objective is to score a goal by directing the ball into the opposing team’s net, while also defending against the opposing team doing the same. The game of football provides a thrilling and entertaining experience for players and spectators alike.","goal, soccer, grass, feet",embedding_top3
326,farm,company,['company'],Plants,-1,0,[],[],"['Plants', 'Planting', 'Tree']","[0.6054214736215282, 0.5657999562022438, 0.4168396259201851]",name_properties,"farm. seeds, fruit, bloom","A farm is an agricultural facility where a variety of crops and food products are produced. It encompasses different units such as vegetable, fruit, and livestock farms, as well as smallholdings, plantations, and estates, among others. Modern farms in developed countries typically use advanced technologies and machinery to increase efficiency and decrease the number of agricultural workers needed. On the other hand, small farms are common in less developed regions and often serve as subsistence farming for rural residents. Farms play a significant role in the global food production system, with about 570 million farms worldwide. The crops grown on farms include seeds, fruits, and other plants that go through blooming stages before harvest.","seeds, fruit, bloom",embedding_top3
327,eating breakfast,eating dinner,['eating dinner'],eating dinner,1,1,['eating dinner'],[1],"['eating dinner', 'day and night cycle', 'clock']","[0.4193504180199453, 0.3644671344599537, 0.3571179982880329]",name_properties,"eating breakfast. morning, breakfast, start, coffee","Eating breakfast is the perfect way to start your morning right by breaking the overnight fasting period and fueling your body with the energy it needs to carry out daily activities with ease. Breakfast is considered as the most important meal of the day as it plays a crucial role in providing essential nutrients and minerals that keep the body healthy and active. The breakfast menus can be customized according to regional and traditional preferences to suit one’s taste buds. While some prefer a classic American breakfast with eggs, bacon, and pancakes, others opt for a healthy continental breakfast with fruits, cereals, and yogurt. Accompanied by a hot cup of coffee, breakfast not only stimulates cognitive function but also aids in digestion and supports a healthy metabolism. Hence, it is always advisable to make breakfast an integral part of your daily routine for a healthy and fulfilling life.","morning, breakfast, start, coffee",embedding_top3
328,Fiction,Architecture,['Architecture'],Drama,-1,0,[],[],"['Drama', 'Bookshelf', 'edit']","[0.5232911889850484, 0.4513228934626422, 0.43098239513611686]",name_properties,"Fiction. Word, plot, character image","Fiction refers to imaginative and creative work that portrays individuals, events, or places that are not rooted in history or fact. It is expressed in various mediums, including prose, live performances, films, television programs, radio dramas, comics, role-playing games, and video games. The hallmark of fiction is its ability to tell a story, typically with a plot and characters that capture the imagination of readers, viewers, or players. Through descriptive language and vivid imagery, fiction writers and other creators immerse audiences in complex narratives that offer a glimpse into alternate realities and unique perspectives. These narratives are an artful blend of fact and fiction, designed to capture the essence of the human experience and evoke emotions by creating a visual character image through the power of words.","Word, plot, character image",embedding_top3
329,Poetry,Music,"['Music', 'Bridge']",Dance,-1,0,[],[],"['Dance', 'The Writing System', 'love']","[0.3884716957762763, 0.3691900459446256, 0.3540528967305291]",name_properties,"Poetry. verse, poet, length, rhyme, rhythm","Poetry is a form of literature that allows for the use of aesthetic and rhythmic qualities of language to evoke meanings beyond its surface level. Created by poets, a poem can take on many shapes and forms, with a history dating back to prehistoric times. Early poems were inspired by hunting, court poetry, and folk songs, eventually evolving into religious hymns and epic poetry. Poetry uses forms and conventions to suggest different interpretations of words, and various devices like rhythm and rhyme can create musical or incantatory effects. While poetry has long been associated with inspiration and the Muse, poets today often adapt forms and techniques from diverse cultures and languages, contributing to the evolution of their languages in various linguistic, expressive, and utilitarian ways.","verse, poet, length, rhyme, rhythm",embedding_top3
330,Article,River,"['River', 'Recipes']",Typo,-1,0,[],[],"['Typo', 'Bookshelf', 'book']","[0.5957232502868458, 0.5224922673386433, 0.5184379329007407]",name_properties,"Article. article, Word, beginning, end","An article is an essential element of grammar commonly used to indicate definiteness or indefiniteness. In English language, the article is either ""the"" or ""a""/""an."" The usage of the article in a sentence can significantly affect its meaning. At the beginning of a sentence, the article helps the reader understand the context and the subject of the sentence. While, at the end of the sentence, it can help bring coherence and conciseness to the sentence.

Apart from grammar, 'article' can also refer to a nonfictional prose that is an independent part of a publication. It can range from informative, scientific research articles to personal opinion essays. The purpose of an article is to inform, persuade, or entertain readers. It can include various writing styles and techniques to hold readers' attention.

In the digital era, articles have become more popular than ever before. With the help of word processors such as Microsoft Word, authors can conveniently create and publish articles online or in print. Writing an article requires a good understanding of the topic and the target audience, which helps portray the intended message. The article needs to be engaging and informative to attract readers.

In conclusion, an article is a crucial component of grammar, used to indicate definiteness or indefiniteness. It is also an independent piece of nonfiction prose that serves to inform, persuade, or entertain readers. Whether it is at the beginning of a sentence or at the end, the article assists in shaping understanding and overall coherence. Writing an article requires skill and entails consideration for both the message and target audience.","article, Word, beginning, end",embedding_top3
331,Fiction Structure,Houses,['Houses'],Drama,-1,0,[],[],"['Drama', 'Architecture', 'Building Structure']","[0.5691005192999352, 0.3841199614383261, 0.37663179520596124]",name_properties,"Fiction Structure. plot, theme, character, language use, Emotional expression","Fiction is a form of literature that primarily consists of imaginative and made-up stories, events, and characters that may or may not be plausible or historically accurate. It encompasses a broad range of works, including novels, novellas, short stories, plays, movies, television shows, and even video games. In essence, fiction aims to captivate the reader's or viewer's imagination and take them on a journey to a world they have never been to before. To achieve this goal, authors and creators pay close attention to various aspects of fiction, such as plot, theme, character, language use, and emotional expression. These elements work together to create a rich and immersive experience for the audience, inviting them to become fully invested in the story and to care about the characters and their journey. In this way, fiction provides a means of escape while also helping us to explore and understand the world around us in new and exciting ways.","plot, theme, character, language use, Emotional expression",embedding_top3
332,plot,line,['line'],Drama,2,1,['line'],[2],"['Drama', 'line', 'Drawing']","[0.511153046067022, 0.4682821801387397, 0.4560690257514185]",name_properties,"plot. event, figure","A plot is an event in a story or narrative that serves as a figure to drive the plot forward. It can be a point of drama, action, or conflict that moves the story along and keeps the reader engaged. The plot is essential in all storytelling, as it sets the structure and purpose of the narrative. Without a plot, the story would be boring and directionless. Thus, it is critical to have a well-crafted plot that is both exciting and meaningful. The success of any story depends heavily on its plot and how effectively it engages the reader.","event, figure",embedding_top3
333,Article,Recipes,"['River', 'Recipes']",edit,-1,0,[],[],"['edit', 'Typo', 'The Writing System']","[0.49058743637732205, 0.45700277849869386, 0.429544521077614]",name_properties,"Article. paragraph, title, conclusion, Revise","An article is a written piece of prose that can be categorized into various forms - news, opinion, feature, academic, informative or educational. It can be found in any publication like magazines, newspapers or even websites. It consists of a well-structured series of paragraphs that convey a particular message or idea. Every article comprises of an informative title, introduction, body, conclusion, and sometimes subheadings to separate the content. The title generally gives a clue about the subject matter and what the reader should expect, while the intro usually elaborates on the topic in a more detailed manner. The body of the article is where the writer provides information and arguments to support the topic, followed by a conclusion which serves as a summary of the work. After writing an article, it is important to revise it several times to ensure it is concise, engaging, accurate and free of grammatical errors.","paragraph, title, conclusion, Revise",embedding_top3
334,Poetry,Bridge,"['Music', 'Bridge']",Painter and Critic,-1,0,[],[],"['Painter and Critic', 'The Writing System', 'universe']","[0.4847839682263453, 0.3335982200120148, 0.3314010406111664]",name_properties,"Poetry. poet, poetry","Poetry is a form of literature that uses the aesthetic and rhythmic qualities of language to evoke multiple meanings, often beyond the surface level. It has a long and varied history, dating back to prehistoric times and evolving differently across the globe. Poetry employs various literary devices such as assonance, alliteration, and rhythm to convey musical or incantatory effects, leaving it open to multiple interpretations. Device usage creates connections not previously perceived, establishing resonance between individual verses, patterns of rhyme or rhythm. While some poetry types are unique to particular cultures and languages that use other means to create rhythm and euphony. With modern internationalism, poets adapt techniques from diverse cultures and languages. The Western cultural tradition associates poetry's formulation with inspiration attributed to a Muse. In poems, the lyrics are spoken by the speaker, differentiating the character from the author, a crucial distinction in interpretation.","poet, poetry",embedding_top3
335,Drama,Competition,['Competition'],Drama,2,1,['Competition'],[2],"['Drama', 'Competition', 'human']","[0.7624592387866826, 0.43066662054834637, 0.3852310562066681]",name_properties,"Drama. actor, Role, stage, audience","Drama is a form of fiction that is performed on stage, in a theatre, or on radio and television. It encompasses a variety of art forms such as plays, operas, mimes, and ballets. The term ""drama"" originates from a Greek word that means ""act"" or ""deed,"" highlighting the idea that drama is a form of art that is meant to be acted out. The two masks associated with drama represent the traditional generic division between comedy and tragedy. The enactment of drama presupposes collaborative modes of production and a collective form of reception. Drama is performed by actors on a stage before an audience, and the structure of dramatic texts is directly influenced by this collaborative production and collective reception. Drama can be combined with music as well as improvised to devise a dramatic script spontaneously before an audience. In short, drama is a collaborative form of art that involves actors, roles, a stage, and an audience, and is designed to be performed live.","actor, Role, stage, audience",embedding_top3
336,Writing,Drawing,['Drawing'],The Writing System,-1,0,[],[],"['The Writing System', 'Drama', 'Building Structure']","[0.5681505569697816, 0.45272099357429885, 0.43269548332579344]",name_properties,"Writing. structure, language, sentence pattern","Writing is a complex activity that involves both psychological and physical processes to translate human thoughts into written form using a system of symbols representing a language's phonology and morphology. Through this process, writing creates a durable form of communication that can be transmitted across space and time, complementing and extending the capacities of spoken language. Writing has the power to transform knowledge by allowing people to externalize their thinking and reflect, elaborate, reconsider and revise their thoughts. A key aspect of writing is its ability to structure language, including sentence patterns, and create distinct characteristics that are not always present in spoken language.","structure, language, sentence pattern",embedding_top3
337,movie,car,['car'],Drama,-1,0,[],[],"['Drama', 'The Movie', 'Music']","[0.5906896124353435, 0.5267029095455362, 0.40777711172876896]",name_properties,"movie. story plot, Role, Scenes, director, music","A movie, also known as a motion picture, is a visual art form that communicates ideas, stories, and emotions through moving images. It tells a story through a plot that involves different roles played by actors and actresses. Scenes are captured and edited together by a director to create a cohesive narrative. Music is carefully chosen to complement the scenes and create a particular atmosphere. Through all these elements, movies provide unique and immersive experiences that continue to captivate audiences around the world.","story plot, Role, Scenes, director, music",embedding_top3
338,Human Society,Drama,['Drama'],society,-1,0,[],[],"['society', 'life', 'The Real World']","[0.566277914974335, 0.5403761079284661, 0.4929208414623887]",name_properties,"Human Society. people, Social system, Historical events","Human society refers to a group of individuals who share space, culture, and institutions and are subject to a common political authority. Within a society, relationships are marked by patterns of social interaction, and there exist societal norms that dictate acceptable behavior. Societies can benefit individuals both socially and individually, and they can be further divided into subcultures that share unique norms and values. From a structuralist perspective, society can be viewed as an economic, social, industrial or cultural infrastructure, with objective relationships that people have with the material world and with other people. Historical events have shaped societies over time, leading to changes in societal norms and patterns of behavior. As a social system, human society is complex and constantly evolving.","people, Social system, Historical events",embedding_top3
339,Body of Knowledge,Building,['Building'],knowledge,-1,0,[],[],"['knowledge', 'theory', 'debate']","[0.46843308967825753, 0.37562070474870013, 0.34677780199128105]",name_properties,"Body of Knowledge. concept, knowledge points, theoretical framework","A body of knowledge (BoK) is a well-structured and comprehensive collection of concepts, theoretical frameworks, knowledge points, and activities that form the foundation of a particular professional domain. It defines the accepted standards, principles, and practices of that field. A BoK is more than a simple collection of terms or a library, it is a landscape of practice which consists of numerous related communities of practice (CoPs) working on a shared understanding of the profession. It represents the set of knowledge within a specific subject or profession that is considered essential and generally known. The development and upkeep of a BoK involve continuous discovery work, validation, and self-reflection by professionals, which enables growth and reproduction of the profession. Participation in a BoK-based Landscape of Practice involves Members of CoPs maintaining their knowledgeability by staying up to date on new developments and relevance to the LoP.","concept, knowledge points, theoretical framework",embedding_top3
340,Rational Thinking,Maps,['Maps'],theory,-1,0,[],[],"['theory', 'Crime Scene', 'reasons for a theory']","[0.4381726066772012, 0.43066862477100376, 0.42756106639474956]",name_properties,"Rational Thinking. structure, relation","Rational thinking is a fundamental quality of being guided by or based on reasons. It is a structured approach to mental processes or actions in which evidence and logical reasoning play critical roles, leading to the most efficient and effective way of reaching a goal. Rationality applies to an ability, mental states, or psychological processes, and a person or thing that lacks it is considered arational or irrational. The discussion surrounding rationality is vast and includes questions about normativity, internal vs. external factors, the distinction between theoretical and practical rationality, and ideal vs. bounded rationality. Rationality is essential in solving problems and is relevant in various disciplines such as ethics, psychology, logic, decision theory, game theory, and artificial intelligence. The relation between rationality and other fields of study is crucial to understand how rational thinking and evidence-based reasoning can inform optimal decision-making processes.","structure, relation",embedding_top3
341,Self Development,Plants,['Plants'],ambition,-1,0,[],[],"['ambition', 'skill', 'difficulties']","[0.5156317507872444, 0.47046517058231485, 0.43631892675335593]",name_properties,"Self Development. bud, experience, Knowledge, develop, emotional basis, Achievement, achievement","Self-development, also known as self-help or self-improvement, is a process in which an individual takes the initiative to improve various aspects of their life. This can include economic, intellectual, or emotional improvement, often with a substantial psychological basis. It involves using publicly available information or support groups, both online and in-person, where people in similar situations come together. Through this process, individuals develop a better understanding of themselves, their strengths, and their limitations, ultimately leading to personal growth and achievement. The concepts and terms originating in self-help culture and Twelve-Step culture have become firmly integrated with mainstream language and practices. By learning and identifying health problems and seeking support from others, individuals can exemplify self-help and achieve personal goals through peer-to-peer or mutual-support groups.","bud, experience, Knowledge, develop, emotional basis, Achievement, achievement",embedding_top3
342,Emotion,River,['River'],Human Emotions,-1,0,[],[],"['Human Emotions', 'Expressway', 'Information Flow']","[0.4514792984649521, 0.4127038817756051, 0.4091875083043494]",name_properties,"Emotion. communication channel, Express, transfer","Emotions are complex experiences that are associated with a particular pattern of physiological activity. They involve multiple components such as subjective experience, cognitive processes, expressive behavior, psychophysiological changes, and instrumental behavior. Over the past two decades, there has been an increase in research on emotion across many different fields including psychology, medicine, sociology of emotions, and computer science. Despite the lack of scientific consensus on a definition, the numerous attempts to explain the origins and functions of emotions have led to intense research in this area. Charles Darwin was one of the first to theorize about the evolutionary origins and possible purpose of emotion. Modern research areas include the neuroscience of emotion, using tools like PET and fMRI scans to study affective picture processes in the brain. From a mechanistic perspective, emotions can be defined as a positive or negative experience associated with physiological activity. In recent years, most research into emotions has focused on emotion dynamics in daily life including the intensity of specific emotions, their variability, instability, inertia, and differentiation, individual differences, and emotion transfer between individuals.","communication channel, Express, transfer",embedding_top3
343,Team Management,Football Game,['Football Game'],Competition,-1,0,[],[],"['Competition', 'Group Behavior', 'Vehicle Traffic']","[0.47429072625867896, 0.40567485236949385, 0.4044519268816881]",name_properties,"Team Management. leader, team member, Target","Team management is an essential skill for any leader or organization that aims to achieve success. It involves guiding a group of team members towards a common objective through effective communication, planning, and problem-solving. An effective team manager must identify the strengths and weaknesses of each team member and assign tasks accordingly to maximize productivity. Additionally, a good team manager must possess the ability to address conflict within the team and motivate individuals to reach their full potential. Teams are an essential element in achieving business goals, where different types of teams, such as management, work, parallel and project teams all come together to drive progressive and collaborative work. Overall, successful team management lies in the attentiveness and awareness of each team member's strengths, weaknesses and the establishment of the team's target objective.","leader, team member, Target",embedding_top3
344,Creative Design,Baking,['Baking'],Drawing,-1,0,[],[],"['Drawing', 'company', 'ideas']","[0.695428277706817, 0.4808667923372037, 0.45933247041925185]",name_properties,"Creative Design. idea, line draft, to color, finished product","Creative design is a highly important aspect of industries related to arts and entertainment. This creative process often involves a creative director who takes the lead in making high-level decisions and overseeing the creation of creative assets such as advertisements, products, events, or logos. This position is found in a range of industries including graphic design, film, music, video game, fashion, advertising, media, web development, and software development among others. The creative director assumes multiple roles including that of an art director, copywriter, or lead designer. Their primary responsibilities include guiding a team of employees with skills and experience related to graphic design, fine arts, motion graphics, and other creative fields towards creating unique and innovative designs for communication and interactive platforms. Throughout the creative process, the creative director is involved in all stages from the idea stage to line drafts, adding color, and bringing the finished product to life.","idea, line draft, to color, finished product",embedding_top3
345,Education,Planting,['Planting'],education,-1,0,[],[],"['education', 'skill', 'knowledge']","[0.6406876039484166, 0.5257019877653948, 0.49639587171036914]",name_properties,"Education. Knowledge, teacher, student","Education is the fundamental process of transmitting knowledge and fostering skills and character traits to achieve certain aims. The process aims to develop critical thinking and understanding while also improving the student's mental states and dispositions. Education can be classified into three types - formal, non-formal, and informal education- with different settings, structures, and learning methodologies. Formal education usually takes place in education or training institutions, guided by teachers, and is compulsory for a certain age group. In contrast, non-formal education is flexible and community, workplace, or civil society-based, while informal education takes place in daily life experiences that impact one's way of thinking or acting. Regardless of the setting, teaching, training, storytelling, discussion, and directed research are among the methods used for education. Education is supported by various theories and philosophies, and reforms are constantly being proposed to improve its quality and efficiency. Governments and the United Nations recognize education as a fundamental right and global goal, aimed towards achieving sustainable development. Thus, education is an essential process and plays a vital role in every student's life, guided by dedicated teachers.","Knowledge, teacher, student",embedding_top3
346,Sports,Cooking,['Cooking'],sport,-1,0,[],[],"['sport', 'Competition', 'Student']","[0.6224806024034211, 0.5853993664585773, 0.46005389002697955]",name_properties,"Sports. athlete, train, Contest, score, referee","Sports refer to a wide range of competitive physical activities that aim to maintain or improve an individual's physical abilities and skills while providing enjoyment to participants and spectators alike. These activities can be played individually or in teams, and they range from simple contests to more elaborate tournaments with hundreds of participants. To ensure fair competition, sports are governed by a set of rules or customs, with referees responsible for ensuring that the rules are followed and that the scoring is correct. Athletes train intensively to improve their skills and achieve higher scores, and their performances are often tracked and celebrated by fans and media. Although most sports are physical in nature, some, such as chess and bridge, are recognized as sports by international governing bodies despite their lack of physical activity. The global sporting industry is worth billions, and millions of people participate in or watch sports as a form of entertainment. Running is the most accessible sport, while association football is the most popular spectator sport around the world.","athlete, train, Contest, score, referee",embedding_top3
347,solar system,atom,['atom'],planet,2,1,['atom'],[2],"['planet', 'atom', 'universe']","[0.6281822415744573, 0.537982790112246, 0.4529618786570801]",name_properties,"solar system. solar system, sun, planet, mass, attracts, revolves, gravity","The solar system is a planetary system that revolves around the sun, which formed from a massive interstellar molecular cloud about 4.6 billion years ago. The sun accounts for the vast majority of the system's mass, with Jupiter being the most massive planet. The eight planets in the system, with four being terrestrial and four being giant, have nearly circular orbits that lie near the plane of Earth's orbit. The gravitational pull of the sun attracts not only the planets, but also smaller dwarf planets, natural satellites, planetary rings, and other small Solar System bodies. The solar wind, a stream of charged particles flowing outwards from the Sun, creates a bubble-like region of interplanetary medium in the interstellar medium, which is known as the heliosphere, and extends out to the edge of the scattered disc. The Oort cloud, another region that is thought to be the source for long-period comets, may exist at a distance roughly a thousand times further than the heliosphere. The Solar System is a magnificent example of the power of gravity and the scale of celestial bodies.","solar system, sun, planet, mass, attracts, revolves, gravity",embedding_top3
