id,target,target_background,gold_source,top_10_sources,top_10_scores,llm_selected_sources,llm_selected_scores,gold_rank,embedding_mode,baseline
276,flower,"Flowers are the reproductive structures found in flowering plants and play a crucial role in the plant's reproduction cycle. These flowers produce gametophytes which develop into the male and female reproductive cells. Some flowers self-pollinate while others need cross-pollination, which is facilitated by animals like bees and butterflies that are attracted by the bright colors and nectar produced by the flowers. Flowers are also appreciated by humans for their beauty, scent, and cultural significance. Proper planting of flowers requires a good amount of water, suitable soil, and a healthy stem. Greenhouses can be used for growing and nurturing flowers in a controlled environment. Flowers and animals have a symbiotic relationship where the flowers provide food and shelter to the animals, and in turn, the animals facilitate the plants' reproduction by transferring their pollen.",innovation,"['Plants', 'forest', 'Tree', 'Bridge', 'Spring', 'light', 'Planting', 'love', 'line', 'car']","[0.3691146200965521, 0.3215857049605839, 0.3139834174169783, 0.2904734684443394, 0.2882093259823021, 0.28335285436931923, 0.28271047045514436, 0.2764586175784207, 0.2697519267125327, 0.2591057887983458]","['Plants', 'Tree', 'Planting']","[0.3691146200965521, 0.3139834174169783, 0.28271047045514436]",-1,name_properties,embedding_llm_top10_to_3
277,mountain,"A mountain is a majestic landform that rises steeply above the surrounding land, offering breathtaking views and challenging terrain for those willing to venture up its slopes. They are formed through complex geological processes that take millions of years to shape, and once they are formed, they become an important part of the ecosystem, affecting the climate and biodiversity of the region. Despite the challenges that mountains present, they are an irresistible draw for adventure enthusiasts who seek the thrill of climbing to their highest points. For such climbers, the ascent and descent of a mountain requires physical strength, technical skill, and expert guidance. The climb is often done with the help of lifts, ropes, and other equipment, and climbers rely on experienced guides to help them navigate the tricky terrain safely. Mountain climbing is a challenging and rewarding pursuit, offering unparalleled views of the surrounding landscape and a sense of accomplishment that can only be gained by summiting one of these incredible peaks.",career,"['Great Wall', 'The Great Wall', '3D Projection', 'Bridge', 'Walls', 'forest', 'Music Performance', 'Journey to the West', 'line', 'object slides']","[0.3399786688408083, 0.30724503663337294, 0.2935326738310293, 0.2821860323677689, 0.27916971842680166, 0.27204329225639073, 0.27025993894322714, 0.2696043776113388, 0.26912871515164366, 0.2677655191994507]","['The Great Wall', 'Journey to the West', 'object slides']","[0.30724503663337294, 0.2696043776113388, 0.2677655191994507]",-1,name_properties,embedding_llm_top10_to_3
278,hill,"A hill is a natural landform that towers over the surrounding terrain, often with a prominent peak. It is a natural formation, formed due to geological processes such as tectonic activity, erosion, and weathering. For many, the challenge of ascending a hill is a thrilling and rewarding experience. Climbing up a hill requires determination and strength, but the feeling of accomplishment upon reaching the summit is unlike any other. The descent down a hill can be just as exhilarating, as it requires careful navigation to ensure a safe return to the base. To make the ascent easier and safer, climbers may use lifts or guides. However, for the true adventurer, a climb up a hill is a personal journey that demands one's full attention and focus. Whether you are a seasoned climber or a beginner, the experience of ascending a hill is a transformative one that changes the way you view your surroundings and yourself. So, take the challenge, and let the hill guide you to new heights.",career,"['The Helix Bridge', 'line', 'lift', 'Horse Racing', 'air circulation ducts', 'Greenhouse', 'Bridge', 'The Hunt', 'heat', 'tidal phenomena']","[0.3551172630422163, 0.3513426626349775, 0.32412843112039375, 0.3093501038974126, 0.30429373077704774, 0.30274144977797224, 0.28832659079928347, 0.2744804917301258, 0.26691514683550044, 0.26683003338523215]","['The Helix Bridge', 'line', 'lift']","[0.3551172630422163, 0.3513426626349775, 0.32412843112039375]",-1,name_properties,embedding_llm_top10_to_3
279,slope,"The slope, also known as the gradient, of a line is a fundamental concept in mathematics that describes both the direction and steepness of a line. It is calculated by finding the ratio of the vertical change to the horizontal change between any two points on a line. A line that is increasing has a positive slope, while a line that is decreasing has a negative slope. The steepness of a line is measured by the absolute value of the slope. In geography and civil engineering, the concept of slope is used to describe the ascent, descent, or climb of a road, while in climbing, it is used to describe the difficulty level of a route. The generalization of the concept of slope allows for complex constructions and planning beyond simple horizontals and verticals, making it one of the main foundations of the modern world in terms of both technology and the built environment.",career,"['object slides', 'lift', 'line', 'Math', 'Expressway', 'Student', 'Taylor Expansion', 'Blankets', 'planet', 'Water Wave Propagation']","[0.505371398200032, 0.36193128418483517, 0.3457969382025876, 0.29680029045502, 0.28546868274470827, 0.28106630699517565, 0.27647229148618147, 0.2705717803089336, 0.2670639357683544, 0.25054027829380415]","['object slides', 'lift', 'line']","[0.505371398200032, 0.36193128418483517, 0.3457969382025876]",-1,name_properties,embedding_llm_top10_to_3
280,organism,"An organism is a complex living system that functions as an individual unit with a unique genetic makeup. It is composed of one or more cells, which adhere to the cell theory that defines the basic functional and structural unit of life. The concept of an organism is based on the idea of a minimal functional unit of life, possessing three key attributes of noncompartmentability, individuality, and distinctness. Organisms are classified into different taxonomic groups such as multicellular animals, plants, fungi, unicellular microorganisms such as protists, bacteria, and archaea, all of which are capable of growth, reproduction, and maintenance. The multicellular organisms, such as beetles, squids, tetrapods, mushrooms, and vascular plants possess specialized tissues and organs. Unicellular organisms can either be prokaryotes or eukaryotes, where eukaryotes are characterized by a nuclear membrane and membrane-bound organelles. The Earth comprises of a vast range of organism species extending from multicellular to unicellular ones, with over 1.7 million documented species out of an estimated 2 million to 1 trillion species. With the identification of specific genes from the last universal common ancestor of all organisms on Earth, the study of organisms has become more comprehensive and detailed. The concepts of cells, organs, tissues, and veins are vital in classifying and understanding these diverse living systems.",society,"['Evolution', 'Ecosystem', 'respiration', 'ecosystem', 'life', 'Group Behavior', 'Human Body', 'society', 'Disease', 'Biological Evolution']","[0.6041626417976524, 0.437082551873793, 0.3972259205874319, 0.3882165837614687, 0.34917898111018764, 0.34577565308841257, 0.3346556497060776, 0.3344323201624986, 0.3205917476835751, 0.3125135975898834]","['respiration', 'Human Body', 'society']","[0.3972259205874319, 0.3346556497060776, 0.3344323201624986]",3,name_properties,embedding_llm_top10_to_3
281,household,"A household is a group of individuals who reside in the same living space. It can be a single family unit or a combination of persons who share a dwelling. The concept of the household serves as a fundamental unit of analysis in various social, microeconomic and governmental models. Its significance in economics, inheritance, and other areas of research are undeniable. Household models can comprise of blended families, shared housing, group homes, boarding houses, houses of multiple occupancy, and single room occupancy. Historically, rich feudal societies had royal households and wealthy medieval households that included servants and other employees. The household unit usually has a head, which may be the father, who oversees the responsibilities of the family and estate. Additionally, a housekeeper or other servants are usually employed to maintain the household in its best condition.",government,"['house', 'Houses', 'Families', 'the cleaners', 'marriage', 'Rental Housing', 'ecosystem', 'society', 'Greenhouse', 'Lock']","[0.5208967379415134, 0.417174402863568, 0.37172566103960153, 0.33908674048571774, 0.33885815952610854, 0.32710421467605894, 0.31012591066517187, 0.31009315951204663, 0.30891959433953275, 0.29740977957748416]","['house', 'Houses', 'Families']","[0.5208967379415134, 0.417174402863568, 0.37172566103960153]",-1,name_properties,embedding_llm_top10_to_3
282,disease,"A disease is a medical condition that affects the structure or function of any part of an organism. It can be caused by internal dysfunctions or external factors such as pathogens. Diseases are often associated with various signs and symptoms and can cause pain, dysfunction, distress, social problems or even death to the affected individual. In this context, the study of disease, known as pathology, includes determining the cause of the disease. Treatment of diseases is done through medicine, surgery, or other medical procedures in hospitals. Patients seek the attention of a doctor to cure their illnesses and to alleviate the symptoms they experience.",poverty,"['illness', 'Disease', 'Diseases', 'Drug Treatment', 'Evolution', 'bacterial mutation', 'wound', 'wrinkles', 'life', 'the skeletal system']","[0.5652466620246461, 0.5413832488164994, 0.46521094277221586, 0.4398059904683868, 0.36002663357401277, 0.32596130424275815, 0.2984627947508197, 0.2894659236348561, 0.28698214780539644, 0.283952079342184]","['illness', 'bacterial mutation', 'wound']","[0.5652466620246461, 0.32596130424275815, 0.2984627947508197]",-1,name_properties,embedding_llm_top10_to_3
283,journey,"A journey can be one of the most exciting experiences of a person's life. It refers to the travel or movement of people between distant geographical locations. A journey can be completed on any vehicle such as a car, bus, train or plane, with multiple stops at stations along the way. A journey can vary in length; it can be a day trip or a long-distance travel expedition like a road trip. 

During a journey, passengers can witness the beauty of the landscape and explore new destinations. A wise traveller does not just depend on the driver to take them to places, but they also seek a guide to provide them with valuable insights about the route and the exciting locations along the journey. They keep an eye on the fuel to ensure the smooth functioning of their vehicle, while relying on the conductor to keep passengers informed about stops and stations.

Ultimately, embarking on a journey not only involves moving from one place to another but also discovering new experiences, learning about different cultures, and meeting new people along the way. So, buckle up and get ready for an exciting journey ahead!",education,"['The Long Journey', 'Journey to the West', 'career', 'car', 'difficulties', 'ambition', 'innovation', 'love', 'The Discovery of America', 'universe']","[0.4463353857900475, 0.3866849311435634, 0.3273677274270576, 0.3107391205641002, 0.3094009769431797, 0.30840978426405363, 0.3061949245619796, 0.303769360196977, 0.2989377417483109, 0.2943620674702023]","['The Long Journey', 'Journey to the West', 'career']","[0.4463353857900475, 0.3866849311435634, 0.3273677274270576]",-1,name_properties,embedding_llm_top10_to_3
284,food,"Food is a vital substance consumed by living organisms to support nutritional needs. It is available in various forms, such as plants, animals, and fungi, and is rich in essential nutrients needed for proper growth and sustenance. While different species of animals have specific feeding behaviours, humans are highly adaptable and can acquire food from various ecosystems. However, the food industry, through intensive agriculture and complex food processing and distribution systems, is responsible for supplying most of the food energy needed. Unfortunately, such conventional agriculture practices also heavily rely on fossil fuels and contribute significantly to climate change. Hence, various issues, such as sustainability, biodiversity, economics, population growth, water supply, and food security, are linked to the food system. Notably, international organizations like the Food and Agriculture Organization and World Food Programme monitor food safety and security issues. Finally, food can be cooked or consumed raw in different ways depending on one's preference or cultural background.",idea,"['Recipes', 'Cooking', 'Gourmet', 'eating dinner', 'Cookie Making', 'cooking', 'Baking', 'The Real World', 'Ice Cream', 'house']","[0.41339297242122425, 0.38978837586183807, 0.3645137536647205, 0.3638787160820455, 0.32989998505697005, 0.31965990328942795, 0.3185272105841447, 0.31406812067960843, 0.3024710685125716, 0.29376873488129907]","['Cooking', 'cooking', 'Baking']","[0.38978837586183807, 0.31965990328942795, 0.3185272105841447]",-1,name_properties,embedding_llm_top10_to_3
285,building,"A building is a permanent structure with walls and a roof that serves to provide shelter and comfort to its occupants. It is a physical division of the human habitat, separating the inside from the outside, protecting individuals from harsh weather conditions and other harmful elements. Buildings come in various sizes, shapes, and functions and are constructed using different materials depending on factors such as the availability of building materials, weather conditions, specific use, ground conditions, land prices, prestige, and aesthetic reasons. The construction process involves laying a foundation, putting up walls using materials such as cement and blocks and roofing. Enhancements in building practices have resulted in the emergence of sustainable planning and green buildings that are environmentally friendly.",theory,"['Buildings', 'Building Structure', 'Building', 'Architecture', 'Construction Workers', 'Construction Work', 'Building Repair', 'Bridge', 'Dust Storm', 'factory']","[0.5446721630892266, 0.5090840685642978, 0.5071772011666329, 0.4569885334630994, 0.45368821198461223, 0.4421782949709834, 0.43956354613315796, 0.3957085976903595, 0.3663042903123994, 0.36609987718935394]","['Buildings', 'Building', 'Architecture']","[0.5446721630892266, 0.5071772011666329, 0.4569885334630994]",-1,name_properties,embedding_llm_top10_to_3
286,building,"A building is a significant structure that provides shelter, security, and living space to people. It serves as a physical division between the inside and outside world, providing comfort and safety from the harsh environment. Buildings come in a variety of sizes, shapes, and functions, and have been adapted throughout history for various reasons, from building materials available to aesthetic reasons. Every building needs a strong foundation made of cement to withstand the test of time. With the advancement of technology, sustainable planning and building practices have become an integral part of the design process of modern buildings.",family,"['Buildings', 'Building Structure', 'Building', 'Architecture', 'Construction Workers', 'Construction Work', 'Building Repair', 'Bridge', 'Dust Storm', 'factory']","[0.5446721630892266, 0.5090840685642978, 0.5071772011666329, 0.4569885334630994, 0.45368821198461223, 0.4421782949709834, 0.43956354613315796, 0.3957085976903595, 0.3663042903123994, 0.36609987718935394]","['Buildings', 'Building', 'Architecture']","[0.5446721630892266, 0.5071772011666329, 0.4569885334630994]",-1,name_properties,embedding_llm_top10_to_3
287,battle,"A battle is a significant event in warfare that involves combat between two or more military units. During a war, several battles take place, and they are defined by their duration, area, and level of commitment from the forces. Battles can be mounted in different locations or theatres, depending on the objectives of the opposing parties. Generally, a battle is fought on the ground, with soldiers engaging in combat using different types of weapons. The ultimate goal is to be victorious, and tactics play a crucial role in determining the outcome of the battle. The battlefield is the location where the battle occurs, and it is often strategically chosen to give one side an advantage over the other. The use of battles is a crucial element in achieving the overall objectives of a war campaign.",debate,"['War', 'competition', 'debate', 'argument', 'Leaping Over Barriers', 'Competition', 'difficulties', 'skill', 'The Great Wall', 'The Hunt']","[0.4677870080134922, 0.4294895258664321, 0.4143145324499271, 0.38484432775221633, 0.3811019000982077, 0.37413818793499054, 0.3736231668291653, 0.3526004600091044, 0.3361177794201159, 0.33479502592214405]","['War', 'competition', 'debate']","[0.4677870080134922, 0.4294895258664321, 0.4143145324499271]",3,name_properties,embedding_llm_top10_to_3
288,weapon,"A weapon is a tool that can be used for various purposes such as hunting, crime, law enforcement, self-defense, warfare, or suicide. It is designed to inflict physical damage, harm or kill an adversary or enemy target. The use of weapons can increase the efficiency and effectiveness of activities. From simple implements like clubs, axes, and swords to modern firearms, tanks, intercontinental ballistic missiles, biological weapons, and cyberweapons, weapons can range from basic to complicated. Anything that has been converted or enhanced to become a weapon of war is referred to as ""weaponized."" Having a fighter's attitude is crucial when using weapons, especially during times of war, as it involves tactical and strategic planning to gain the upper hand over the enemy.",money,"['War', 'Army', 'Music Performance', 'Archery', 'sport', 'Shooting Through Walls', 'The Ring', 'Great Wall', 'basketball', 'house']","[0.4307793607416861, 0.38440411553701054, 0.3229085136251484, 0.3210781242919599, 0.3127412290411513, 0.31165772604833375, 0.3106617704010153, 0.305493354441436, 0.3053069986114212, 0.29929911910120766]","['War', 'Army', 'Music Performance']","[0.4307793607416861, 0.38440411553701054, 0.3229085136251484]",-1,name_properties,embedding_llm_top10_to_3
289,possession,"Possession is a term that can refer to various things depending on the context. Usually, it refers to the state of having or owning something. For instance, acquiring a possession signifies purchasing or gaining ownership of an item or asset. An item becomes a possession of an individual once they acquire ownership of it, providing them with certain legal rights attached to its property. 

Acquisition of something through purchase, inheritance, or gift could form an item into a possession. Ownership goes with the right to enjoy, use, and even dispose of a possession, although the scope of such rights could be restrained by law, contractual agreements, or other factors. 

Furthermore, owning a possession bestows upon the owner some benefits, including gaining a sense of satisfaction or pride in the possession. Owning an item creates a sense of accomplishment that accompanies making the acquisition. 

In a broader sense, the term ""possession"" could refer to the state of being under someone else's control. For example, when the police seize illegal goods, they take possession of the items. In contrast, losing possession of something could mean losing ownership rights or not having complete control over the item. 

Ultimately, possession can imply ownership or control of property or assets. Acquiring possessions is inevitable in life, and understanding this concept is crucial in navigating any ownership or property-related dealings.",skill,"['skill', 'crime', 'debate', 'knowledge', 'Lock', 'Occupation', 'The Hunt', 'password lock', 'illness', 'marriage']","[0.3179536266978177, 0.30632840306669545, 0.300206737223329, 0.2972009511152324, 0.2886808005962018, 0.28683507450912704, 0.2808450702591583, 0.27438846588425825, 0.27263788717443965, 0.2707884445730919]","['Lock', 'The Hunt', 'password lock']","[0.2886808005962018, 0.2808450702591583, 0.27438846588425825]",-1,name_properties,embedding_llm_top10_to_3
290,race,"Race is an ultimate test of skill, speed, and endurance that has been a part of human history for centuries. It is a competition, typically involving several racers, to determine the fastest or most skilled racer. The race can be performed on different occasions and tracks, ranging from a short sprint to a long distance marathon. The racers compete with each other in terms of their technique, speed, and physical prowess to cross the finishing line first.

The race track is specifically designed for racers, providing them with an environment that maximizes their potential. The tracks can be oval, straight, uphill or downhill based on the type of race that is being held. Racers need to overcome several setbacks to win the race, such as crashes, injuries, or mechanical failures. It is essential to have quick reflexes and cognitive abilities to deal with any situation during the race.

Speed is one of the crucial factors in determining who wins the race. Racers aim to achieve maximum speed while maintaining their balance and control. They also need to maneuver their way through tight spaces, sharp corners, and other obstacles while maintaining their speed. The fastest racer with the most efficient technique typically gets ahead of others and crosses the finishing line first.

In conclusion, the race is a thrilling competition that tests the endurance and skill of racers. The race can be performed on different tracks and occasions, ranging from a short sprint to a long-distance marathon. The racers need to overcome multiple setbacks and deal with intense turns and obstacles to emerge victoriously. Speed is the key to win the race and requires a unique blend of technique, physical endurance, and cognitive abilities.",competition,"['Horse Racing', 'Competition', 'sport', 'Group Behavior', 'Evolution', 'natural selection', 'The Hunt', 'Dance', 'The Real World', 'Human Relationships']","[0.4247096408239968, 0.33600648678430767, 0.3205754014140177, 0.31650551694438755, 0.3154082958909926, 0.3088478296793272, 0.3085319109767277, 0.2990044025900148, 0.298339788551908, 0.29707213716272507]","['Horse Racing', 'Competition', 'sport']","[0.4247096408239968, 0.33600648678430767, 0.3205754014140177]",2,name_properties,embedding_llm_top10_to_3
291,war,"War is a highly intense and destructive armed conflict where two opposing sides, be it states, governments, societies or paramilitary groups, engage in battles using military forces armed with weapons. The general goal of these battles is to either gain control of or defend territory, resources or ideology. Each battle is fought by soldiers on the frontline, who put their lives on the line to protect their country and community. However, the use of weapons and resulting casualties often has a devastating impact on both sides of the conflict. While war may be considered a universal aspect of human nature by some, others argue that it is a result of specific socio-cultural, economic, or ecological circumstances. Regardless of its cause, the reality of war can never be ignored, and its impact continues to be felt long after the battles have ceased.",sport,"['War', 'Great Wall', 'The Great Wall', 'politics', 'competition', 'The War Against Japan', 'career', 'marriage', 'Army', 'argument']","[0.4928905564139315, 0.3401139076108778, 0.33276500902161027, 0.32642571813711474, 0.3222019034989083, 0.3215541867720045, 0.31519863519138164, 0.3148815496901494, 0.30889215034263484, 0.2994427938107845]","['War', 'Army', 'The War Against Japan']","[0.4928905564139315, 0.30889215034263484, 0.3215541867720045]",-1,name_properties,embedding_llm_top10_to_3
292,liquid,"A liquid is a unique state of matter that takes the shape of the container it is in, while maintaining a relatively constant volume. It is made up of tiny particles of matter held together by intermolecular bonds, and can flow like a gas while also retaining a density closer to that of a solid. Liquids, like gases, are considered fluids due to their ability to flow. Unlike gases, liquids do not disperse to fill every space of a container, and exhibit surface tension. While water is the most common liquid on Earth, liquid is actually the least common state of matter in the universe. This state of matter has the ability to pour, flow, and create outflow, making it an important resource for many uses. From the sea to a container or pool, liquids serve a variety of purposes.",money,"['lubrication system', 'gas molecules', 'light', 'line', 'Soda', 'the replicator', 'Vortex', 'River', 'Currency Loss', 'heat transfer']","[0.37634216325228664, 0.350790187386547, 0.33666809027987943, 0.3249101396403693, 0.2857468902750183, 0.2838436520486478, 0.2813104306580669, 0.27633061939089104, 0.2721101996351718, 0.27153780773328673]","['Soda', 'River', 'heat transfer']","[0.2857468902750183, 0.27633061939089104, 0.27153780773328673]",-1,name_properties,embedding_llm_top10_to_3
293,liquid,"A liquid is a state of matter that is nearly incompressible, flows to take the shape of its container, and retains a nearly constant volume. It is made up of tiny vibrating particles of matter held together by intermolecular bonds. Unlike a gas, it does not disperse to fill every space of a container and has a specific density. Surface tension, which creates wetting phenomena, is a distinctive property of liquids. Although water is the most common liquid on Earth, liquids are the least common state of matter in the known universe because they require a relatively narrow temperature/pressure range to exist. In this article, we will explore the characteristics and properties of liquids, as well as their uses and importance. From containing liquids in a container to enjoying the serenity of a pool or river, liquids play a vital role in our daily lives.",knowledge,"['lubrication system', 'gas molecules', 'light', 'line', 'Soda', 'the replicator', 'Vortex', 'River', 'Currency Loss', 'heat transfer']","[0.37634216325228664, 0.350790187386547, 0.33666809027987943, 0.3249101396403693, 0.2857468902750183, 0.2838436520486478, 0.2813104306580669, 0.27633061939089104, 0.2721101996351718, 0.27153780773328673]","['Soda', 'River', 'heat transfer']","[0.2857468902750183, 0.27633061939089104, 0.27153780773328673]",-1,name_properties,embedding_llm_top10_to_3
294,hunt,"Hunting is a practice that involves seeking and pursuing wild animals for various reasons. One of the most common reasons for hunting is to obtain meat for food or valuable animal products such as fur, hide, bone, or antlers. Hunting can also be done for recreational purposes or to remove predators and pests that pose a threat to humans or domestic animals. A person participating in a hunt is called a hunter or huntsman, while an area used for hunting is referred to as a game reserve. Hunting has been deeply embedded in various human cultures and is considered a necessary component of modern wildlife management to protect the environment's ecological carrying capacity. However, excessive hunting has caused the endangerment, extirpation, and extinction of many animals. Marine mammals and aquatic animals are also targets of hunting, but the morality, ethics, and legality of such practices are fiercely debated. Skillful tracking and acquisition of an elusive target in hunting has resulted in the usage of the term ""hunt"" as a metaphor for searching and obtaining something.",research,"['The Hunt', 'Fishing', 'Archery', 'Prospecting', 'Crime Scene', 'Horse Racing', 'Lock', 'Competition', 'research', 'competition']","[0.6406626993510705, 0.3673317411029851, 0.3404975785937343, 0.3351336750201034, 0.31518076639575987, 0.31458553106770365, 0.30496363947837696, 0.30236681486726463, 0.2989898202391147, 0.287688536911266]","['The Hunt', 'Archery', 'Competition']","[0.6406626993510705, 0.3404975785937343, 0.30236681486726463]",-1,name_properties,embedding_llm_top10_to_3
295,hunt,"Hunting is a practice where humans seek, pursue, and capture wildlife or feral animals for various reasons, such as food provision, recreation, or population control. Recreational hunted species are usually mammals and birds, categorized as game, and activities related to hunting are regulated by modern laws to distinguish lawful hunting from illegal poaching. Hunting can be a necessary part of modern wildlife management, but excessive hunting has also heavily contributed to endangerment, extirpation, and extinction of many animals. Marine mammals, such as whales and pinnipeds, are also targets of hunting, but fishing is not categorised as a form of hunting, although it essentially is. Hunting has become deeply embedded into various human cultures and has caused the word 'hunt' to be used as a metaphor for searching and obtaining something.",business,"['The Hunt', 'Fishing', 'Archery', 'Prospecting', 'Crime Scene', 'Horse Racing', 'Lock', 'Competition', 'research', 'competition']","[0.6406626993510705, 0.3673317411029851, 0.3404975785937343, 0.3351336750201034, 0.31518076639575987, 0.31458553106770365, 0.30496363947837696, 0.30236681486726463, 0.2989898202391147, 0.287688536911266]","['The Hunt', 'Archery', 'research']","[0.6406626993510705, 0.3404975785937343, 0.2989898202391147]",-1,name_properties,embedding_llm_top10_to_3
296,boat,"A boat is a watercraft that comes in various sizes and types, smaller than a ship, and can accommodate passengers or cargo. Boats are designed to navigate waters such as rivers, lakes, and protected coastal areas, but some can navigate offshore environments. They can be made from different materials, and their design depends on their intended purpose, materials available, or local traditions. Boats can be propelled by manpower, wind, or inboard/outboard motors. Sailboats, in particular, harness the power of the wind to move across the water. However, boats can encounter challenges such as shipwrecks or storms, which can be dangerous to the passengers on board. To prevent accidents and disasters, boat owners must know how to anchor their boats securely and navigate through rocky waters.",marriage,"['Sailing', 'Fishing', 'car', 'Bridge', 'sport', 'Balloons', 'lubrication system', 'Car', 'engine', 'heat transfer']","[0.47330014065102377, 0.3466448438688221, 0.34362457669741664, 0.3420895822370614, 0.2971493270218873, 0.29064289651968256, 0.28244312969809715, 0.28131172466516186, 0.27798822108662197, 0.27649649171189894]","['Sailing', 'car', 'heat transfer']","[0.47330014065102377, 0.34362457669741664, 0.27649649171189894]",-1,name_properties,embedding_llm_top10_to_3
297,war,"War is a devastating event that can wreak havoc on entire nations, governments, and societies. It is a conflict that involves the use of armed forces and military tactics between two or more opposing sides, with the intention of gaining an advantage over the other. The battleground of a war is a place of extreme violence and destruction where combatants fight to gain a strategic position, attack their opponents, maneuver around enemy forces, retreat when necessary, and ultimately aim for victory. The outcome of war can have far-reaching consequences for the people involved, including surrender or mass casualties. While some argue that war is an inherent part of human nature, others suggest it is shaped by socio-cultural, economic, or ecological factors. Regardless of the cause, war remains one of the most destructive events in human history.",argument,"['War', 'Great Wall', 'The Great Wall', 'politics', 'competition', 'The War Against Japan', 'career', 'marriage', 'Army', 'argument']","[0.4928905564139315, 0.3401139076108778, 0.33276500902161027, 0.32642571813711474, 0.3222019034989083, 0.3215541867720045, 0.31519863519138164, 0.3148815496901494, 0.30889215034263484, 0.2994427938107845]","['War', 'competition', 'argument']","[0.4928905564139315, 0.3222019034989083, 0.2994427938107845]",3,name_properties,embedding_llm_top10_to_3
298,ship,"A ship is a large watercraft that travels on deep water, carrying cargo or passengers to various destinations. A captain and crew are responsible for operating and maintaining the ship, ensuring the safety of all onboard despite any challenges such as storms or unfavorable weather forecasts. Ships have played a significant role in the development of world commerce, supporting exploration, trade, warfare, migration, colonization, and science. Whether it’s a cargo ship carrying goods across the ocean or a cruise ship carrying passengers on vacation, ships continue to provide essential transportation services around the world.",nation,"['Sailing', 'Mail', 'Transportation Systems', 'marriage', 'car', 'universe', 'line', 'Fishing', 'sport', 'Bridge']","[0.43941589816542337, 0.37135817898519896, 0.3115233332929924, 0.3077051878158298, 0.30679008349141856, 0.30646875219755143, 0.2984569083378007, 0.29639494475137695, 0.29313612587715504, 0.2923677743603421]","['Sailing', 'car', 'Transportation Systems']","[0.43941589816542337, 0.30679008349141856, 0.3115233332929924]",-1,name_properties,embedding_llm_top10_to_3
299,family,"Family is a fundamental social institution that has existed throughout human history. It is a group of people who are related by birth, marriage, or other forms of relationships. The purpose of the family is to provide a secure and nurturing environment for its members to grow, learn, and participate in the community. There are different types of family structures such as matrifocal, patrifocal, conjugal, avuncular, and extended families that have unique cultural and social characteristics.

The role of a father in a family is crucial as he is typically seen as the head of the household and provides for the family. However, fathers also play a vital role in the discipline and guidance of their children. Disobedience is a common issue in families, and it can be a challenging behavior to address. Often, parents resort to forms of punishment to correct this behavior, such as taking away privileges or time-outs. However, it's important to create a nurturing environment that uses positive reinforcement and communication to foster good behavior and strengthen the parent-child bond.

In conclusion, families are the essential building blocks of society, providing structure, predictability, and safety for its members. Fathers play a critical role in providing for the family and nurturing their children, helping them grow to become responsible members of society. While disobedience is a common issue in families, it's important to use positive reinforcement and communication to address behavioral problems and maintain a loving and nurturing family environment.",nation,"['family', 'Families', 'life', 'Social Circle', 'marriage', 'society', 'poverty', 'love', 'Pedigree Trees', 'The Real World']","[0.5535563056187802, 0.5009534669199001, 0.37020487448975803, 0.3495273293531058, 0.3425188957802342, 0.33233107889571595, 0.3314712152617594, 0.33032878197657023, 0.323892210496478, 0.32038043703807906]","['family', 'marriage', 'love']","[0.5535563056187802, 0.3425188957802342, 0.33032878197657023]",-1,name_properties,embedding_llm_top10_to_3
300,husbandry,"Animal husbandry is the practice of raising animals for various purposes, such as meat, milk, or wool. It involves the day-to-day care of livestock, selective breeding, and raising animals on farms. The practice of husbandry dates back to the Neolithic Revolution when animals were first domesticated. Since then, the practice has evolved, with major changes brought by the Columbian Exchange and British Agricultural Revolution. Today, modern animal husbandry relies on production systems adapted to the type of land available, including intensive animal farming and extensive free-ranging. While ruminants like cattle and sheep are adapted to feed on grass, pigs and chickens are omnivores and cannot digest forage. With a focus on the care and mastery of livestock, husbandry has become an important part of agriculture, from herders rearing their sheep to the ultimate aim of slaughter for consumption.",faith,"['The Hunt', 'marriage', 'Horse Racing', 'business', 'Sunrise', 'The Real World', 'respiration', 'Human Relationships', 'Feudal Dynasties', 'eating dinner']","[0.38395641617576537, 0.34670201367136105, 0.3060403386194753, 0.27079312472432293, 0.2702964015465723, 0.27025194278972003, 0.2651745118670339, 0.26240273251164714, 0.2598191655368183, 0.2583898223249218]","['The Hunt', 'business', 'Feudal Dynasties']","[0.38395641617576537, 0.27079312472432293, 0.2598191655368183]",-1,name_properties,embedding_llm_top10_to_3
